ID,Prob1
0, 0.77
1, 0.43
2, 0.19
3, 0.00
4, 0.06
5, 0.05
6, 0.21
7, 0.64
8, 0.00
9, 0.02
10, 0.37
11, 0.08
12, 0.48
13, 0.54
14, 0.19
15, 0.18
16, 0.07
17, 0.95
18, 0.00
19, 0.33
20, 0.47
21, 0.53
22, 0.10
23, 0.26
24, 0.09
25, 0.91
26, 0.79
27, 0.19
28, 0.02
29, 0.23
30, 0.58
31, 0.24
32, 0.20
33, 0.10
34, 0.63
35, 0.13
36, 0.24
37, 0.03
38, 0.77
39, 0.26
40, 0.03
41, 0.76
42, 0.09
43, 0.04
44, 0.29
45, 0.06
46, 0.48
47, 0.23
48, 0.89
49, 0.68
50, 0.39
51, 0.11
52, 0.92
53, 0.00
54, 0.04
55, 0.09
56, 0.02
57, 0.56
58, 0.22
59, 0.04
60, 0.02
61, 0.06
62, 0.31
63, 0.19
64, 0.01
65, 0.01
66, 0.50
67, 0.27
68, 0.08
69, 0.81
70, 0.00
71, 0.08
72, 0.07
73, 0.33
74, 0.92
75, 0.57
76, 0.05
77, 0.25
78, 0.37
79, 0.01
80, 0.01
81, 0.55
82, 0.09
83, 0.24
84, 0.42
85, 0.49
86, 0.74
87, 0.57
88, 0.13
89, 0.02
90, 0.12
91, 0.15
92, 0.84
93, 0.94
94, 0.57
95, 0.23
96, 0.01
97, 0.20
98, 0.72
99, 0.01
100, 0.46
101, 0.76
102, 0.01
103, 0.87
104, 0.00
105, 0.04
106, 0.41
107, 0.88
108, 0.28
109, 0.25
110, 0.04
111, 0.52
112, 0.99
113, 0.24
114, 0.19
115, 0.03
116, 0.03
117, 0.28
118, 0.01
119, 0.03
120, 0.64
121, 0.18
122, 0.09
123, 0.68
124, 0.00
125, 0.37
126, 0.40
127, 0.34
128, 0.84
129, 0.92
130, 0.01
131, 0.02
132, 0.70
133, 0.79
134, 0.50
135, 0.96
136, 0.11
137, 0.99
138, 0.00
139, 0.92
140, 0.10
141, 0.03
142, 0.95
143, 0.01
144, 0.56
145, 0.04
146, 0.66
147, 0.29
148, 0.17
149, 0.01
150, 0.62
151, 0.58
152, 0.17
153, 0.70
154, 0.09
155, 0.05
156, 0.43
157, 0.08
158, 0.16
159, 0.79
160, 0.41
161, 0.07
162, 0.26
163, 0.47
164, 0.99
165, 0.36
166, 0.05
167, 0.59
168, 0.17
169, 0.10
170, 0.09
171, 0.48
172, 0.28
173, 0.14
174, 0.32
175, 0.07
176, 0.76
177, 0.10
178, 0.23
179, 0.74
180, 0.79
181, 0.00
182, 0.05
183, 0.27
184, 0.05
185, 0.10
186, 0.36
187, 0.03
188, 0.42
189, 0.19
190, 0.14
191, 0.11
192, 0.51
193, 0.50
194, 0.45
195, 0.73
196, 0.69
197, 0.00
198, 0.85
199, 0.82
200, 0.01
201, 0.72
202, 0.02
203, 0.02
204, 0.34
205, 0.02
206, 0.25
207, 0.00
208, 0.40
209, 0.34
210, 0.78
211, 0.27
212, 0.67
