ID,Prob1
0, 0.80
1, 0.51
2, 0.15
3, 0.00
4, 0.17
5, 0.12
6, 0.31
7, 0.67
8, 0.01
9, 0.08
10, 0.31
11, 0.12
12, 0.37
13, 0.47
14, 0.26
15, 0.16
16, 0.28
17, 0.86
18, 0.02
19, 0.34
20, 0.62
21, 0.61
22, 0.17
23, 0.32
24, 0.16
25, 0.76
26, 0.67
27, 0.22
28, 0.16
29, 0.31
30, 0.54
31, 0.34
32, 0.29
33, 0.16
34, 0.50
35, 0.41
36, 0.33
37, 0.14
38, 0.54
39, 0.26
40, 0.02
41, 0.61
42, 0.23
43, 0.23
44, 0.38
45, 0.07
46, 0.40
47, 0.30
48, 0.89
49, 0.54
50, 0.36
51, 0.09
52, 0.86
53, 0.07
54, 0.07
55, 0.16
56, 0.01
57, 0.48
58, 0.31
59, 0.04
60, 0.09
61, 0.17
62, 0.15
63, 0.37
64, 0.08
65, 0.05
66, 0.36
67, 0.12
68, 0.04
69, 0.65
70, 0.03
71, 0.25
72, 0.25
73, 0.42
74, 0.79
75, 0.42
76, 0.10
77, 0.21
78, 0.27
79, 0.08
80, 0.14
81, 0.54
82, 0.47
83, 0.28
84, 0.29
85, 0.42
86, 0.74
87, 0.42
88, 0.11
89, 0.09
90, 0.20
91, 0.10
92, 0.90
93, 0.79
94, 0.60
95, 0.29
96, 0.01
97, 0.42
98, 0.66
99, 0.18
100, 0.58
101, 0.68
102, 0.11
103, 0.77
104, 0.02
105, 0.28
106, 0.45
107, 0.73
108, 0.43
109, 0.24
110, 0.10
111, 0.35
112, 0.94
113, 0.33
114, 0.25
115, 0.10
116, 0.07
117, 0.25
118, 0.14
119, 0.18
120, 0.52
121, 0.39
122, 0.19
123, 0.51
124, 0.02
125, 0.38
126, 0.29
127, 0.45
128, 0.73
129, 0.87
130, 0.16
131, 0.12
132, 0.64
133, 0.53
134, 0.63
135, 0.98
136, 0.31
137, 0.81
138, 0.05
139, 0.44
140, 0.37
141, 0.06
142, 0.88
143, 0.06
144, 0.48
145, 0.15
146, 0.73
147, 0.27
148, 0.23
149, 0.16
150, 0.65
151, 0.58
152, 0.16
153, 0.69
154, 0.20
155, 0.11
156, 0.37
157, 0.18
158, 0.30
159, 0.56
160, 0.41
161, 0.14
162, 0.25
163, 0.41
164, 0.96
165, 0.30
166, 0.34
167, 0.57
168, 0.43
169, 0.14
170, 0.35
171, 0.34
172, 0.30
173, 0.25
174, 0.40
175, 0.07
176, 0.65
177, 0.15
178, 0.16
179, 0.74
180, 0.56
181, 0.00
182, 0.26
183, 0.32
184, 0.17
185, 0.23
186, 0.52
187, 0.17
188, 0.45
189, 0.25
190, 0.28
191, 0.34
192, 0.47
193, 0.57
194, 0.30
195, 0.49
196, 0.79
197, 0.09
198, 0.59
199, 0.64
200, 0.08
201, 0.79
202, 0.17
203, 0.16
204, 0.33
205, 0.07
206, 0.29
207, 0.01
208, 0.49
209, 0.30
210, 0.53
211, 0.29
212, 0.49
213, 0.20
214, 0.55
215, 0.02
216, 0.73
217, 0.56
218, 0.16
219, 0.77
220, 0.87
221, 0.19
222, 0.84
223, 0.54
224, 0.79
225, 0.50
226, 0.97
227, 0.66
228, 0.34
229, 0.02
230, 0.87
231, 0.95
232, 0.03
233, 0.00
234, 0.20
235, 0.31
236, 0.19
237, 0.02
238, 0.69
239, 0.15
240, 0.33
241, 0.06
242, 0.16
243, 0.63
244, 0.02
245, 0.49
246, 0.57
247, 0.53
248, 0.49
249, 0.51
250, 0.39
251, 0.83
252, 0.24
253, 0.07
254, 0.33
255, 0.52
256, 0.97
257, 0.17
258, 0.32
259, 0.63
260, 0.24
261, 0.08
262, 0.09
263, 0.07
264, 0.29
265, 0.05
266, 0.08
267, 0.21
268, 0.51
269, 0.16
270, 0.10
271, 0.31
272, 0.33
273, 0.22
274, 0.36
275, 0.64
276, 0.39
277, 0.50
278, 0.27
279, 0.57
280, 0.31
281, 0.31
282, 0.23
283, 0.44
284, 0.41
285, 0.66
286, 0.07
287, 0.03
288, 0.05
289, 0.27
290, 0.95
291, 0.32
292, 0.46
293, 0.20
294, 0.26
295, 0.64
296, 0.02
297, 0.37
298, 0.65
299, 0.65
300, 0.19
301, 0.16
302, 0.65
303, 0.52
304, 0.11
305, 0.02
306, 0.05
307, 0.07
308, 0.09
309, 0.37
310, 0.13
311, 0.30
312, 0.15
313, 0.25
314, 0.86
315, 0.49
316, 0.66
317, 0.00
318, 0.36
319, 0.58
320, 0.29
321, 0.15
322, 0.16
323, 0.69
324, 0.15
325, 0.30
326, 0.69
327, 0.36
328, 0.04
329, 0.57
330, 0.90
331, 0.03
332, 0.62
333, 0.10
334, 0.48
335, 0.24
336, 0.22
337, 0.24
338, 0.04
339, 0.12
340, 0.64
341, 0.30
342, 0.17
343, 0.32
344, 0.02
345, 0.26
346, 0.10
347, 0.09
348, 0.05
349, 0.01
350, 0.02
351, 0.52
352, 0.16
353, 0.37
354, 0.23
355, 0.20
356, 0.08
357, 0.34
358, 0.34
359, 0.11
360, 0.30
361, 0.15
362, 0.32
363, 0.10
364, 0.04
365, 0.80
366, 0.33
367, 0.41
368, 0.79
369, 0.51
370, 0.63
371, 0.15
372, 0.81
373, 0.47
374, 0.66
375, 0.38
376, 0.59
377, 0.08
378, 0.45
379, 0.01
380, 0.88
381, 0.24
382, 0.10
383, 0.36
384, 0.32
385, 0.22
386, 0.47
387, 0.64
388, 0.17
389, 0.54
390, 0.38
391, 0.09
392, 0.23
393, 0.42
394, 0.52
395, 0.06
396, 0.12
397, 0.02
398, 0.41
399, 0.21
400, 0.18
401, 0.72
402, 0.47
403, 0.09
404, 0.27
405, 0.12
406, 0.13
407, 0.05
408, 0.21
409, 0.50
410, 0.07
411, 0.46
412, 0.41
413, 0.71
414, 0.24
415, 0.05
416, 0.11
417, 0.54
418, 0.07
419, 0.23
420, 0.51
421, 0.81
422, 0.28
423, 0.35
424, 0.51
425, 0.31
426, 0.24
427, 0.31
428, 0.30
429, 0.80
430, 0.33
431, 0.74
432, 0.34
433, 0.46
434, 0.13
435, 0.01
436, 0.65
437, 0.27
438, 0.45
439, 0.34
440, 0.24
441, 0.07
442, 0.48
443, 0.42
444, 0.35
445, 0.21
446, 0.35
447, 0.26
448, 0.06
449, 0.45
450, 0.92
451, 0.07
452, 0.19
453, 0.72
454, 0.34
455, 0.81
456, 0.44
457, 0.37
458, 0.05
459, 0.24
460, 0.25
461, 0.31
462, 0.09
463, 0.85
464, 0.19
465, 0.19
466, 0.89
467, 0.26
468, 0.23
469, 0.56
470, 0.26
471, 0.00
472, 0.30
473, 0.40
474, 0.17
475, 0.34
476, 0.04
477, 0.09
478, 0.39
479, 0.33
480, 0.28
481, 0.00
482, 0.01
483, 0.31
484, 0.76
485, 0.62
486, 0.15
487, 0.21
488, 0.43
489, 0.45
490, 0.45
491, 0.42
492, 0.13
493, 0.19
494, 0.00
495, 0.46
496, 0.47
497, 0.23
498, 0.96
499, 0.24
500, 0.24
501, 0.17
502, 0.69
503, 0.13
504, 0.08
505, 0.84
506, 0.13
507, 0.61
508, 0.26
509, 0.33
510, 0.38
511, 0.58
512, 0.08
513, 0.89
514, 0.51
515, 0.18
516, 0.08
517, 0.58
518, 0.75
519, 0.04
520, 0.43
521, 0.82
522, 0.32
523, 0.60
524, 0.47
525, 0.32
526, 0.66
527, 0.40
528, 0.17
529, 0.02
530, 0.25
531, 0.02
532, 0.06
533, 0.18
534, 0.63
535, 0.33
536, 0.58
537, 0.20
538, 0.18
539, 0.53
540, 0.40
541, 0.32
542, 0.35
543, 0.64
544, 0.35
545, 0.88
546, 0.16
547, 0.15
548, 0.28
549, 0.31
550, 0.13
551, 0.36
552, 0.20
553, 0.43
554, 0.19
555, 0.18
556, 0.32
557, 0.59
558, 0.23
559, 0.90
560, 0.14
561, 0.24
562, 0.41
563, 0.24
564, 0.70
565, 0.41
566, 0.28
567, 0.27
568, 0.55
569, 0.39
570, 0.14
571, 0.63
572, 0.00
573, 0.26
574, 0.50
575, 0.67
576, 0.59
577, 0.01
578, 0.04
579, 0.41
580, 0.58
581, 0.50
582, 0.18
583, 0.16
584, 0.29
585, 0.16
586, 0.07
587, 0.19
588, 0.60
589, 0.59
590, 0.93
591, 0.28
592, 0.31
593, 0.52
594, 0.90
595, 0.06
596, 0.48
597, 0.32
598, 0.20
599, 0.37
600, 0.73
601, 0.69
602, 0.30
603, 0.40
